iter	Logloss
0	0.6085500947
1	0.5410111922
2	0.4864097428
3	0.4463395085
4	0.4217910089
5	0.3915789645
6	0.367439322
7	0.3504951472
8	0.3197587896
9	0.301887056
10	0.2909889914
11	0.2822250112
12	0.2735550403
13	0.2665221761
14	0.2573619116
15	0.2518596175
16	0.2472845617
17	0.2428274355
18	0.2399109375
19	0.2332099876
20	0.225701814
21	0.2226429511
22	0.2204784291
23	0.2184194594
24	0.2155918099
25	0.2132185309
26	0.2108438741
27	0.2093066888
28	0.2075164196
29	0.2063300799
30	0.2050777084
31	0.2040666526
32	0.2008144962
33	0.1975075232
34	0.1958841149
35	0.1949642739
36	0.1920942953
37	0.1913901542
38	0.1891905913
39	0.1882171619
40	0.1873476635
41	0.1844452301
42	0.1832381035
43	0.1823096617
44	0.1814428638
45	0.1779382528
46	0.176611821
47	0.1759207471
48	0.1744530784
49	0.1733479963
50	0.1725307488
51	0.171020583
52	0.1685420737
53	0.1680694038
54	0.1674453233
55	0.1668666395
56	0.1663576465
57	0.1653309812
58	0.1647335885
59	0.1635592148
60	0.1632052331
61	0.161990577
62	0.1605942638
63	0.1597498554
64	0.1592957648
65	0.1588945294
66	0.1586905293
67	0.1578760431
68	0.1576971545
69	0.1572958152
70	0.1551549015
71	0.1546519236
72	0.1541272564
73	0.1538068229
74	0.1533988292
75	0.1531554743
76	0.1528308883
77	0.1524790774
78	0.1518886752
79	0.1517251943
80	0.1509826425
81	0.1508879206
82	0.1506193274
83	0.1500882018
84	0.1495418888
85	0.1491055738
86	0.1487482716
87	0.1482993186
88	0.1481034657
89	0.1478291202
90	0.147404145
91	0.1461245194
92	0.1457189862
93	0.1455249611
94	0.1449655535
95	0.1445642653
96	0.1437288024
97	0.1433212868
98	0.1430058896
99	0.1425875936
100	0.1424586537
101	0.142145625
102	0.1419080487
103	0.1416965291
104	0.141220476
105	0.1409602499
106	0.1408084961
107	0.1403055097
108	0.1398040141
109	0.1398028611
110	0.1394910874
111	0.1392754922
112	0.1389725146
113	0.138659121
114	0.1383805964
115	0.1378342433
116	0.1376255448
117	0.1370791698
118	0.1365301062
119	0.1355447335
120	0.1354184764
121	0.135218159
122	0.1348171595
123	0.1345452473
124	0.1343623543
125	0.1340598158
126	0.1333565721
127	0.13268282
128	0.1321660432
129	0.131429436
130	0.1310959322
131	0.1307143995
132	0.1302656398
133	0.1299130635
134	0.1296096876
135	0.1293959601
136	0.1290384889
137	0.1287575171
138	0.1285767366
139	0.1281483306
140	0.127718938
141	0.1275969219
142	0.1273595224
143	0.1271339702
144	0.1268861361
145	0.1262307665
146	0.1260764986
147	0.1259450881
148	0.1257645091
149	0.1255516204
150	0.1253942549
151	0.1252245557
152	0.1247851566
153	0.124339142
154	0.124263462
155	0.1241026034
156	0.123883661
157	0.1236763032
158	0.1234407678
159	0.1232212975
160	0.1231030766
161	0.1229860093
162	0.1228672177
163	0.1222453033
164	0.1220853367
165	0.1217921304
166	0.1215328752
167	0.1212893504
168	0.1212023231
169	0.1210973577
170	0.1207862261
171	0.1206076606
172	0.1205017495
173	0.1203579304
174	0.1202421133
175	0.1199137805
176	0.1195869237
177	0.1190463829
178	0.1188766672
179	0.1187403757
180	0.1185816793
181	0.1183892253
182	0.1181814752
183	0.1180225382
184	0.1173629156
185	0.1170296894
186	0.1167649116
187	0.1165639672
188	0.1164254883
189	0.1162987058
190	0.116196578
191	0.116052845
192	0.1159467567
193	0.1159089708
194	0.1157829492
195	0.1156504014
196	0.1155273573
197	0.1154034346
198	0.1151959661
199	0.115094823
200	0.115031872
201	0.1149405878
202	0.114826182
203	0.1146805145
204	0.1144951445
205	0.1143160669
206	0.1142082398
207	0.1139737319
208	0.1137220212
209	0.1136189674
210	0.1135063919
211	0.113359681
212	0.1129891751
213	0.112802887
214	0.1127451966
215	0.1126967769
216	0.1126272345
217	0.1125720005
218	0.1122958662
219	0.112148782
220	0.1119773526
221	0.1118377952
222	0.1116555513
223	0.1115848347
224	0.1115726004
225	0.1114514198
226	0.1112928788
227	0.1112719667
228	0.1111708817
229	0.1111249745
230	0.1110465909
231	0.1109775613
232	0.1108656052
233	0.1107745504
234	0.1106698826
235	0.1105993349
